country,iso2c,iso3c,year,status,lastupdated,gdp_deflator,cpi_price,region,capital,longitude,latitude,income,lending
Advanced Economies,AME,,1987,,2020-07-27,NA,58.70907667539,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1988,,2020-07-27,NA,60.50997546071,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1989,,2020-07-27,NA,63.01621177536,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1990,,2020-07-27,NA,66.03610576615,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1991,,2020-07-27,NA,69.10801420061,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1992,,2020-07-27,NA,71.43189505121,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1993,,2020-07-27,NA,73.58393446866,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1994,,2020-07-27,NA,75.35082723628,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1995,,2020-07-27,NA,77.12736893896,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1996,,2020-07-27,NA,78.85533563913,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1997,,2020-07-27,NA,80.52182851108,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1998,,2020-07-27,NA,81.71229743541,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,1999,,2020-07-27,NA,82.7568614485,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2000,,2020-07-27,NA,84.4156747053,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2001,,2020-07-27,NA,86.11038624673,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2002,,2020-07-27,NA,87.296465027119993,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2003,,2020-07-27,NA,88.7935329016,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2004,,2020-07-27,NA,90.437907117220007,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2005,,2020-07-27,NA,92.3543501225,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2006,,2020-07-27,NA,94.37385096764,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2007,,2020-07-27,NA,96.32303165011,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2008,,2020-07-27,NA,99.45035681623,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2009,,2020-07-27,NA,99.4708868245,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2010,,2020-07-27,NA,100.87562038535,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2011,,2020-07-27,NA,103.44833757601,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2012,,2020-07-27,NA,105.37562705219,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2013,,2020-07-27,NA,106.73067062218,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2014,,2020-07-27,NA,108.19076719873,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2015,,2020-07-27,NA,108.49503821835,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2016,,2020-07-27,NA,109.26321923318,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2017,,2020-07-27,NA,111.06023900555,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2018,,2020-07-27,NA,113.18409717667,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2019,,2020-07-27,NA,114.7625975982,NA,NA,NA,NA,NA,NA
Advanced Economies,AME,,2020,,2020-07-27,NA,115.30919211314,NA,NA,NA,NA,NA,NA
Afghanistan,AF,AFG,1982,,2022-12-22,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1967,,2022-12-22,NA,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
