country,iso2c,iso3c,year,gdp,status,lastupdated,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,1963,751111191.111111,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1962,546666677.777778,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1961,548888895.555556,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1960,537777811.111111,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,4539496562.95373,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,3854235264.37171,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1994,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1993,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1992,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1991,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1990,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1989,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1988,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1987,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2022,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2021,14583135236.5744,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2020,20143451705.7548,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2019,18904502222.2108,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2018,18418860354.4238,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2017,18896353155.8839,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2016,18019554403.4503,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,19998143635.873,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,20550582746.8448,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,20564485419.1684,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,20203572959.5023,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,18190413831.9037,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,15633843661.8051,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,12154835707.8987,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,10249770318.5697,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,9715765105.48016,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,6971383338.70803,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,6226198934.83329,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,5220825048.64637,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1977,2953333417.77778,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1976,2555555566.66667,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1975,2366666615.55556,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1974,2155555497.77778,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1986,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1985,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1984,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1983,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1982,NA,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1981,3478787909.09091,,2023-07-25,South Asia,Kabul,69.1761,34.5228,Low income,IDA
